claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
Abortion causes breast cancer.,public.us-east-1.A12KQGDA5YYCW7,4,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Abortion causes breast cancer.,public.us-east-1.A1NN61ZAXV9FR0,6,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A3UFJ3TBCTNCLQ,5,5,6,GENDER: Men; RACE: White,4
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A1JDPMVFB8HNMH,4,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A178BXD4UBX932,4,4,5,NONE,3
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A3JGB3OMTOWR6I,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A1NN61ZAXV9FR0,5,4,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A10Q1TJDW26M30,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A3AAJIOULPV12E,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A2F1VWINKE769G,3,3,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.ALJXFAPVR5NY0,4,4,3,NONE,3
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.A2RAXDXAJ13EYX,4,3,2,,2
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.A47LXYTWFIB6F,4,5,5,,6
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.A2VTNO389Z7GZZ,5,6,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.A1PZNXUXSW2MH0,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.A1BLDWE3JYO1O,5,4,3,,4
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.A3JGB3OMTOWR6I,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.A1NN61ZAXV9FR0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.A2RAXDXAJ13EYX,2,3,5,RACE: Hispanic,4
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.A47LXYTWFIB6F,5,5,5,,6
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.A2VTNO389Z7GZZ,6,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.A28LVKN22K756,5,6,5,GENDER: Women,2
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.A12KQGDA5YYCW7,5,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.A2ATPVV665TR66,5,4,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.A1NN61ZAXV9FR0,6,4,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.A3JGB3OMTOWR6I,4,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Abortions can be induced using pills.,public.us-east-1.A2RAXDXAJ13EYX,2,2,3,,3
Abortions can be induced using pills.,public.us-east-1.A26BQOPGB12IXD,5,3,4,GENDER: Women; RACE: East or South Asian; SEXUAL ORIENTATION: LGBTQ,4
Abortions can be induced using pills.,public.us-east-1.A3UFJ3TBCTNCLQ,4,5,5,GENDER: Men; RACE: White,4
Abortions can be induced using pills.,public.us-east-1.A3JGB3OMTOWR6I,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Abortions can be induced using pills.,public.us-east-1.A2ATPVV665TR66,5,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Abortions can be induced using pills.,public.us-east-1.A12KQGDA5YYCW7,6,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Abortions can be induced using pills.,public.us-east-1.A3AAJIOULPV12E,1,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Abortions can be induced using pills.,public.us-east-1.A1NN61ZAXV9FR0,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Abortions can be induced using pills.,public.us-east-1.A2F1VWINKE769G,3,3,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A circle is round.,public.us-east-1.A26BQOPGB12IXD,3,4,3,GENDER: Women; RACE: Hispanic; SEXUAL ORIENTATION: LGBTQ,4
A circle is round.,public.us-east-1.A3UFJ3TBCTNCLQ,6,5,6,GENDER: Men; RACE: White,3
A circle is round.,public.us-east-1.A10Q1TJDW26M30,6,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A circle is round.,public.us-east-1.A12KQGDA5YYCW7,4,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A circle is round.,public.us-east-1.A3AAJIOULPV12E,3,5,5,GENDER: Men; SEXUAL ORIENTATION: Heterosexual,5
A circle is round.,public.us-east-1.A3JGB3OMTOWR6I,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A circle is round.,public.us-east-1.A2ATPVV665TR66,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A circle is round.,public.us-east-1.A1NN61ZAXV9FR0,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A circle is round.,public.us-east-1.A2F1VWINKE769G,3,3,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Progesterone can be used for abortion reversal after taking mifepristone,public.us-east-1.A2WSWG9IQ0ZOC8,6,5,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,1
Progesterone can be used for abortion reversal after taking mifepristone,public.us-east-1.A2RAXDXAJ13EYX,5,5,4,,4
Progesterone can be used for abortion reversal after taking mifepristone,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Progesterone can be used for abortion reversal after taking mifepristone,public.us-east-1.A245B3Q3BILZCL,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Progesterone can be used for abortion reversal after taking mifepristone,public.us-east-1.A2VTNO389Z7GZZ,4,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Progesterone can be used for abortion reversal after taking mifepristone,public.us-east-1.A10Q1TJDW26M30,6,6,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Progesterone can be used for abortion reversal after taking mifepristone,public.us-east-1.A3AAJIOULPV12E,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Progesterone can be used for abortion reversal after taking mifepristone,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Progesterone can be used for abortion reversal after taking mifepristone,public.us-east-1.A1NN61ZAXV9FR0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Abortions can save the life of a pregnant woman in certain medical emergencies.,public.us-east-1.A2RAXDXAJ13EYX,2,4,2,,2
Abortions can save the life of a pregnant woman in certain medical emergencies.,public.us-east-1.A2VTNO389Z7GZZ,5,6,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Abortions can save the life of a pregnant woman in certain medical emergencies.,public.us-east-1.A2BC5O377KEL6N,4,4,5,,5
Abortions can save the life of a pregnant woman in certain medical emergencies.,public.us-east-1.A6MCR5VWBFWZT,5,4,4,GENDER: Men; RACE: White,4
Abortions can save the life of a pregnant woman in certain medical emergencies.,public.us-east-1.A10Q1TJDW26M30,6,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Abortions can save the life of a pregnant woman in certain medical emergencies.,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Abortions can save the life of a pregnant woman in certain medical emergencies.,public.us-east-1.A245B3Q3BILZCL,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Abortions can save the life of a pregnant woman in certain medical emergencies.,public.us-east-1.A1BLDWE3JYO1O,5,5,5,RACE: Hispanic,6
Abortions can save the life of a pregnant woman in certain medical emergencies.,public.us-east-1.A3AAJIOULPV12E,4,4,5,GENDER: Women; RACE: White,5
Joe Biden has four eyes on the top of his head.,public.us-east-1.A2RAXDXAJ13EYX,5,5,5,,4
Joe Biden has four eyes on the top of his head.,public.us-east-1.A6MCR5VWBFWZT,5,5,5,GENDER: Men; RACE: White,5
Joe Biden has four eyes on the top of his head.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Joe Biden has four eyes on the top of his head.,public.us-east-1.A2BC5O377KEL6N,4,4,5,,5
Joe Biden has four eyes on the top of his head.,public.us-east-1.A245B3Q3BILZCL,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Joe Biden has four eyes on the top of his head.,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Joe Biden has four eyes on the top of his head.,public.us-east-1.A10Q1TJDW26M30,6,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Joe Biden has four eyes on the top of his head.,public.us-east-1.A1BLDWE3JYO1O,5,5,5,,4
Joe Biden has four eyes on the top of his head.,public.us-east-1.A3AAJIOULPV12E,4,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Biden asked China for permission to shoot down spy balloon,public.us-east-1.A1I0LW3KRXJX0P,6,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
Biden asked China for permission to shoot down spy balloon,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Biden asked China for permission to shoot down spy balloon,public.us-east-1.A2VTNO389Z7GZZ,6,5,5,NONE,3
Biden asked China for permission to shoot down spy balloon,public.us-east-1.A3UFJ3TBCTNCLQ,4,5,6,GENDER: Men,4
Biden asked China for permission to shoot down spy balloon,public.us-east-1.A1JDPMVFB8HNMH,3,5,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Biden asked China for permission to shoot down spy balloon,public.us-east-1.A12KQGDA5YYCW7,5,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Biden asked China for permission to shoot down spy balloon,public.us-east-1.A3AAJIOULPV12E,4,5,4,RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Biden asked China for permission to shoot down spy balloon,public.us-east-1.A1NN61ZAXV9FR0,6,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Biden asked China for permission to shoot down spy balloon,public.us-east-1.A3JGB3OMTOWR6I,6,4,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.A3UFJ3TBCTNCLQ,4,5,5,GENDER: Men; RACE: White,4
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.A26BQOPGB12IXD,4,5,3,GENDER: Women; RACE: African American; SEXUAL ORIENTATION: Heterosexual,3
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.A12KQGDA5YYCW7,4,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.A34OH8N3GTAD4T,3,3,3,NONE,5
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.A3AAJIOULPV12E,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.A2ATPVV665TR66,4,4,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.A2F1VWINKE769G,3,3,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.A1NN61ZAXV9FR0,5,6,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.A3JGB3OMTOWR6I,5,6,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
California is sending money to all LGBTQ residents.,public.us-east-1.A178BXD4UBX932,4,5,4,NONE,3
California is sending money to all LGBTQ residents.,public.us-east-1.A3UFJ3TBCTNCLQ,4,5,5,GENDER: Men; RACE: White,4
California is sending money to all LGBTQ residents.,public.us-east-1.A1JDPMVFB8HNMH,5,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
California is sending money to all LGBTQ residents.,public.us-east-1.A12KQGDA5YYCW7,2,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
California is sending money to all LGBTQ residents.,public.us-east-1.A1NN61ZAXV9FR0,5,6,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
California is sending money to all LGBTQ residents.,public.us-east-1.A3AAJIOULPV12E,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
California is sending money to all LGBTQ residents.,public.us-east-1.A2ATPVV665TR66,5,4,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
California is sending money to all LGBTQ residents.,public.us-east-1.A3JGB3OMTOWR6I,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
California is sending money to all LGBTQ residents.,public.us-east-1.A2F1VWINKE769G,3,3,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A6MCR5VWBFWZT,5,5,5,GENDER: Men; RACE: White,5
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.ALJXFAPVR5NY0,6,3,4,GENDER: Men; RACE: White,3
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A2VTNO389Z7GZZ,4,3,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A10Q1TJDW26M30,6,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A1BLDWE3JYO1O,4,4,5,,5
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
